OperatingPoint,measurementType,sysType,jetFlavor,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
M,wcharm,central,5,0.0,2.5,50,70,-1,1,1.049665
M,wcharm,central,5,0.0,2.5,70,100,-1,1,1.097455
M,wcharm,central,5,0.0,2.5,100,130,-1,1,0.997805
M,wcharm,central,5,0.0,2.5,130,160,-1,1,0.926999
M,wcharm,central,5,0.0,2.5,160,250,-1,1,1.022339
M,wcharm,down,5,0.0,2.5,25,30,-1,1,0.914436
M,wcharm,down,5,0.0,2.5,30,50,-1,1,0.9678990000000001
M,wcharm,down,5,0.0,2.5,50,70,-1,1,0.9799390000000001
M,wcharm,down,5,0.0,2.5,70,100,-1,1,0.992527
M,wcharm,down,5,0.0,2.5,100,130,-1,1,0.827567
M,wcharm,down,5,0.0,2.5,130,160,-1,1,0.614897
M,wcharm,down,5,0.0,2.5,160,250,-1,1,0.5081690000000001
M,wcharm,up,5,0.0,2.5,25,30,-1,1,1.074428
M,wcharm,up,5,0.0,2.5,30,50,-1,1,1.070983
M,wcharm,up,5,0.0,2.5,50,70,-1,1,1.119391
M,wcharm,up,5,0.0,2.5,70,100,-1,1,1.202383
M,wcharm,up,5,0.0,2.5,100,130,-1,1,1.168043
M,wcharm,up,5,0.0,2.5,130,160,-1,1,1.239101
M,wcharm,up,5,0.0,2.5,160,250,-1,1,1.5365090000000001
T,wcharm,central,5,0.0,2.5,25,30,-1,1,1.032787
T,wcharm,central,5,0.0,2.5,30,50,-1,1,1.035922
T,wcharm,central,5,0.0,2.5,50,70,-1,1,1.05016
T,wcharm,central,5,0.0,2.5,70,100,-1,1,1.129377
T,wcharm,central,5,0.0,2.5,100,130,-1,1,1.025138
T,wcharm,central,5,0.0,2.5,130,160,-1,1,0.901094
T,wcharm,central,5,0.0,2.5,160,250,-1,1,1.004283
T,wcharm,down,5,0.0,2.5,25,30,-1,1,0.9005709999999999
T,wcharm,down,5,0.0,2.5,30,50,-1,1,0.96787
T,wcharm,down,5,0.0,2.5,50,70,-1,1,0.9682419999999999
T,wcharm,down,5,0.0,2.5,70,100,-1,1,1.010483
T,wcharm,down,5,0.0,2.5,100,130,-1,1,0.8264460000000001
T,wcharm,down,5,0.0,2.5,130,160,-1,1,0.5679399999999999
T,wcharm,down,5,0.0,2.5,160,250,-1,1,0.46437300000000004
T,wcharm,up,5,0.0,2.5,25,30,-1,1,1.165003
T,wcharm,up,5,0.0,2.5,30,50,-1,1,1.103974
T,wcharm,up,5,0.0,2.5,50,70,-1,1,1.132078
T,wcharm,up,5,0.0,2.5,70,100,-1,1,1.2482710000000001
T,wcharm,up,5,0.0,2.5,100,130,-1,1,1.2238300000000002
T,wcharm,up,5,0.0,2.5,130,160,-1,1,1.234248
T,wcharm,up,5,0.0,2.5,160,250,-1,1,1.544193
L,incl,central,0,0.0,2.5,20,1000,0,1,0.978708+20.0544/x+258.208/(x*x)+-1685.01/((x--12.5644)*(x--12.5644)) 
L,incl,down,0,0.0,2.5,20,1000,0,1,(0.978708+20.0544/x+258.208/(x*x)+-1685.01/((x- -12.5644)*(x- -12.5644)))*(1-(0.0289817+-1.18787e-07*x+-1.89502e-10*x*x)) 
L,incl,down_correlated,0,0.0,2.5,20,1000,0,1,(0.978708+20.0544/x+258.208/(x*x)+-1685.01/((x- -12.5644)*(x- -12.5644)))*(1-(0.0284318+-1.38544e-07*x+-1.73283e-10*x*x)) 
L,incl,down_uncorrelated,0,0.0,2.5,20,1000,0,1,(0.978708+20.0544/x+258.208/(x*x)+-1685.01/((x- -12.5644)*(x- -12.5644)))*(1-(0.00563793)) 
L,incl,up,0,0.0,2.5,20,1000,0,1,(0.978708+20.0544/x+258.208/(x*x)+-1685.01/((x- -12.5644)*(x- -12.5644)))*(1+(0.0289817+-1.18787e-07*x+-1.89502e-10*x*x)) 
L,incl,up_correlated,0,0.0,2.5,20,1000,0,1,(0.978708+20.0544/x+258.208/(x*x)+-1685.01/((x- -12.5644)*(x- -12.5644)))*(1+(0.0284318+-1.38544e-07*x+-1.73283e-10*x*x)) 
L,incl,up_uncorrelated,0,0.0,2.5,20,1000,0,1,(0.978708+20.0544/x+258.208/(x*x)+-1685.01/((x- -12.5644)*(x- -12.5644)))*(1+(0.00563793)) 
M,incl,central,0,0.0,2.5,20,1000,0,1,1.25733+3.12021e-05*x+-1.22402e-07*x*x+-2.65201/x 
M,incl,down,0,0.0,2.5,20,1000,0,1,(1.25733+3.12021e-05*x+-1.22402e-07*x*x+-2.65201/x)*(1-(0.0843237+4.86535e-06*x+-1.40918e-08*x*x)) 
M,incl,down_correlated,0,0.0,2.5,20,1000,0,1,(1.25733+3.12021e-05*x+-1.22402e-07*x*x+-2.65201/x)*(1-(0.0833127+4.9456e-06*x+-1.43192e-08*x*x)) 
M,incl,down_uncorrelated,0,0.0,2.5,20,1000,0,1,(1.25733+3.12021e-05*x+-1.22402e-07*x*x+-2.65201/x)*(1-(0.0131287)) 
M,incl,up,0,0.0,2.5,20,1000,0,1,(1.25733+3.12021e-05*x+-1.22402e-07*x*x+-2.65201/x)*(1+(0.0843237+4.86535e-06*x+-1.40918e-08*x*x)) 
M,incl,up_correlated,0,0.0,2.5,20,1000,0,1,(1.25733+3.12021e-05*x+-1.22402e-07*x*x+-2.65201/x)*(1+(0.0833127+4.9456e-06*x+-1.43192e-08*x*x)) 
M,incl,up_uncorrelated,0,0.0,2.5,20,1000,0,1,(1.25733+3.12021e-05*x+-1.22402e-07*x*x+-2.65201/x)*(1+(0.0131287)) 
T,incl,central,0,0.0,2.5,20,1000,0,1,1.24249+0.000710784*x+-4.74072e-07*x*x+3.50092/x 
T,incl,down,0,0.0,2.5,20,1000,0,1,(1.24249+0.000710784*x+-4.74072e-07*x*x+3.50092/x)*(1-(0.158654+0.000101332*x+-1.32546e-07*x*x)) 
T,incl,down_correlated,0,0.0,2.5,20,1000,0,1,(1.24249+0.000710784*x+-4.74072e-07*x*x+3.50092/x)*(1-(0.155219+0.000102961*x+-1.34996e-07*x*x)) 
T,incl,down_uncorrelated,0,0.0,2.5,20,1000,0,1,(1.24249+0.000710784*x+-4.74072e-07*x*x+3.50092/x)*(1-(0.0335774)) 
T,incl,up,0,0.0,2.5,20,1000,0,1,(1.24249+0.000710784*x+-4.74072e-07*x*x+3.50092/x)*(1+(0.158654+0.000101332*x+-1.32546e-07*x*x)) 
T,incl,up_correlated,0,0.0,2.5,20,1000,0,1,(1.24249+0.000710784*x+-4.74072e-07*x*x+3.50092/x)*(1+(0.155219+0.000102961*x+-1.34996e-07*x*x)) 
T,incl,up_uncorrelated,0,0.0,2.5,20,1000,0,1,(1.24249+0.000710784*x+-4.74072e-07*x*x+3.50092/x)*(1+(0.0335774)) 
